epoch,train_total_loss,train_curve_loss,train_mean_loss,train_shape_loss,validation_total_loss,mean_shape_gradient_cosine,negative_gradient_conflict
1,0.04140467941761017,0.01749066263437271,0.00967375561594963,0.03815428167581558,0.03449225425720215,0.0,False
2,0.04140252619981766,0.01748974248766899,0.009673221968114376,0.03815234452486038,0.03447703272104263,0.20193639397621155,False
3,0.0413999930024147,0.017488675191998482,0.009672627784311771,0.038150012493133545,0.03447166085243225,0.28105098009109497,False
4,0.041397422552108765,0.01748756319284439,0.009671943262219429,0.038147781044244766,0.03446279466152191,0.3554843068122864,False
5,0.04139455407857895,0.017486313357949257,0.009671146050095558,0.03814532980322838,0.034450463950634,0.4159175753593445,False
6,0.04139135777950287,0.017484912648797035,0.009670224972069263,0.03814266622066498,0.034436795860528946,0.4589742124080658,False
7,0.0413878969848156,0.017483379691839218,0.009669167920947075,0.038139864802360535,0.03442399948835373,0.49931207299232483,False
8,0.04138405621051788,0.017481664195656776,0.009667955338954926,0.03813682496547699,0.034412845969200134,0.5200668573379517,False
9,0.04137963056564331,0.01747969165444374,0.009666567668318748,0.03813330829143524,0.03440316021442413,0.5313400626182556,False
10,0.041374512016773224,0.01747741736471653,0.009664983488619328,0.038129206746816635,0.0343952476978302,0.5508570075035095,False
11,0.04136866331100464,0.017474817112088203,0.009663171134889126,0.03812452405691147,0.03438936918973923,0.5683795809745789,False
12,0.04136200621724129,0.017471855506300926,0.009661105461418629,0.03811919689178467,0.03438568115234375,0.5742401480674744,False
13,0.04135436192154884,0.017468463629484177,0.009658762253820896,0.03811303526163101,0.03438519313931465,0.5815197825431824,False
14,0.04134562239050865,0.017464593052864075,0.009656106121838093,0.038105953484773636,0.03438868373632431,0.6034204363822937,False
15,0.04133579879999161,0.017460240051150322,0.009653107263147831,0.038098014891147614,0.03439657390117645,0.6309142112731934,False
16,0.041324906051158905,0.01745539717376232,0.00964974146336317,0.03808927536010742,0.03440852090716362,0.649577260017395,False
17,0.04131292551755905,0.017450060695409775,0.009645995683968067,0.03807973116636276,0.03442308306694031,0.6612334251403809,False
18,0.04129989817738533,0.01744423806667328,0.009641851298511028,0.0380694679915905,0.03443797677755356,0.6701453924179077,False
19,0.04128589481115341,0.017437949776649475,0.009637300856411457,0.03805858641862869,0.03444956615567207,0.6699258089065552,False
20,0.04127088934183121,0.017431186512112617,0.009632335975766182,0.03804706782102585,0.03445495292544365,0.6652308702468872,False
21,0.041254736483097076,0.01742389053106308,0.009626942686736584,0.038034744560718536,0.0344536229968071,0.6660822629928589,False
22,0.041237227618694305,0.017415978014469147,0.009621074423193932,0.03802141919732094,0.03444629907608032,0.6712531447410583,False
23,0.041218239814043045,0.017407387495040894,0.009614686481654644,0.038007017225027084,0.03443264961242676,0.6742728352546692,False
24,0.041197940707206726,0.017398176714777946,0.009607761166989803,0.03799176961183548,0.03441346436738968,0.6750633120536804,False
25,0.04117666557431221,0.01738845929503441,0.009600282646715641,0.03797613084316254,0.03439418226480484,0.6715375185012817,False
