record_id,optimization_step,adapter_name,component_name,raw_loss,normalized_loss,loss_ema,activation_multiplier,weight,gradient_norm
0,6,fixed,data_fit,0.6686457991600037,0.6686457991600037,0.6686457991600037,1.0,1.0,1.383573293685913
0,6,fixed,harmonic_shape,0.4329046905040741,0.4329046905040741,0.4329046905040741,1.0,1.0,0.8371999859809875
0,6,fixed,weak_physics,1.0729163885116577,1.0729163885116577,1.0729163885116577,1.0,1.0,1.8396292924880981
1,6,gradient_statistics,data_fit,0.6686457991600037,0.6686457991600037,0.6686457991600037,1.0,1.0,1.383573293685913
1,6,gradient_statistics,harmonic_shape,0.4329046905040741,0.4329046905040741,0.4329046905040741,1.0,1.652619824240338,0.8371999859809875
1,6,gradient_statistics,weak_physics,1.0729163885116577,1.0729163885116577,1.0729163885116577,1.0,0.7520935328305359,1.8396292924880981
2,0,gradient_statistics,data_fit,0.6686457991600037,0.6686457991600037,0.6686457991600037,1.0,1.0,1.383573293685913
2,0,gradient_statistics,harmonic_shape,0.4329046905040741,0.4329046905040741,0.4329046905040741,1.0,1.652619824240338,0.8371999859809875
3,6,relobralo_style,data_fit,0.6686457991600037,0.6686457991600037,0.6686457991600037,1.0,1.0,1.383573293685913
3,6,relobralo_style,harmonic_shape,0.4329046905040741,0.4329046905040741,0.4329046905040741,1.0,1.0,0.8371999859809875
3,6,relobralo_style,weak_physics,1.0729163885116577,1.0729163885116577,1.0729163885116577,1.0,1.0,1.8396292924880981
4,7,relobralo_style,data_fit,0.33432289958000183,0.33432289958000183,0.5014843493700027,1.0,0.9176717874849645,0.6917866468429565
4,7,relobralo_style,harmonic_shape,0.3896142244338989,0.3896142244338989,0.4112594574689865,1.0,0.9875289388198737,0.7534799575805664
4,7,relobralo_style,weak_physics,1.1802080869674683,1.1802080869674683,1.126562237739563,1.0,1.0947992736951617,2.023591995239258
