epoch,train_total_loss,train_curve_loss,train_mean_loss,train_shape_loss,validation_total_loss,mean_shape_gradient_cosine,negative_gradient_conflict
1,0.040701597929000854,0.01716289296746254,0.009403846226632595,0.03767355903983116,0.03431323915719986,-0.003088363679125905,True
2,0.040694884955883026,0.017159568145871162,0.009400594979524612,0.037670034915208817,0.03428947180509567,0.02756967954337597,False
3,0.040688082575798035,0.017156289890408516,0.009397617541253567,0.0376659631729126,0.034255750477313995,0.006633461453020573,False
4,0.04068170115351677,0.017153151333332062,0.009394604712724686,0.03766249492764473,0.03424050658941269,-0.0063200825825333595,True
5,0.04067545384168625,0.017150044441223145,0.009391536936163902,0.037659283727407455,0.03424013778567314,-0.005160079337656498,True
6,0.04066906496882439,0.017146877944469452,0.009388436563313007,0.03765593841671944,0.034242041409015656,-0.010347813367843628,True
7,0.04066289961338043,0.017143795266747475,0.009385356679558754,0.03765284642577171,0.03423584997653961,-0.001050976337864995,True
8,0.04065684974193573,0.017140742391347885,0.009382239542901516,0.0376499705016613,0.034220367670059204,0.008117511868476868,False
9,0.04065068066120148,0.017137624323368073,0.00937903206795454,0.03764708340167999,0.0342014878988266,-0.002132832072675228,True
10,0.04064454883337021,0.01713450439274311,0.00937578547745943,0.03764430433511734,0.03418593108654022,-0.016936521977186203,True
11,0.040638528764247894,0.01713142730295658,0.009372537955641747,0.03764167055487633,0.034176841378211975,-0.023006686940789223,True
12,0.04063250124454498,0.017128337174654007,0.009369269013404846,0.037639059126377106,0.03417282551527023,-0.028290292248129845,True
13,0.04062643647193909,0.01712523028254509,0.00936598889529705,0.037636417895555496,0.03417013958096504,-0.032941605895757675,True
14,0.040620386600494385,0.01712213270366192,0.00936270970851183,0.03763379529118538,0.03416524454951286,-0.03077556937932968,True
15,0.04061436280608177,0.017119042575359344,0.009359421208500862,0.03763122111558914,0.034156884998083115,-0.025232838466763496,True
16,0.04060834273695946,0.017115944996476173,0.009356112219393253,0.03762868419289589,0.034146279096603394,-0.023271409794688225,True
17,0.04060230031609535,0.01711282879114151,0.009352769702672958,0.037626173347234726,0.0341356098651886,-0.02908731997013092,True
18,0.04059625416994095,0.017109708860516548,0.009349408559501171,0.03762368485331535,0.034126393496990204,-0.04084330052137375,True
19,0.04059024155139923,0.017106598243117332,0.009346047416329384,0.037621237337589264,0.034118883311748505,-0.04977458342909813,True
20,0.04058423638343811,0.017103496938943863,0.00934270117431879,0.03761878237128258,0.034112535417079926,-0.05341111123561859,True
21,0.0405782125890255,0.017100386321544647,0.009339357726275921,0.037616293877363205,0.03410669043660164,-0.056431423872709274,True
22,0.04057219624519348,0.01709728315472603,0.009336022660136223,0.03761380538344383,0.034100789576768875,-0.05651649460196495,True
23,0.04056620970368385,0.017094193026423454,0.009332693181931973,0.03761133924126625,0.03409428894519806,-0.05321895703673363,True
24,0.04056021571159363,0.01709109917283058,0.009329362772405148,0.03760887309908867,0.03408665210008621,-0.055042896419763565,True
25,0.040554217994213104,0.01708800159394741,0.009326030500233173,0.03760640323162079,0.03407770022749901,-0.06377651542425156,True
26,0.040548235177993774,0.017084915190935135,0.009322705678641796,0.03760393708944321,0.03406807780265808,-0.07250192761421204,True
27,0.04054225981235504,0.017081832513213158,0.009319394826889038,0.03760146349668503,0.034059036523103714,-0.07827349007129669,True
28,0.04053628444671631,0.017078755423426628,0.009316100738942623,0.03759896010160446,0.03405148535966873,-0.08199667930603027,True
29,0.040530312806367874,0.017075683921575546,0.009312821552157402,0.037596434354782104,0.03404506668448448,-0.08340118825435638,True
30,0.04052434116601944,0.017072616145014763,0.0093095563352108,0.037593889981508255,0.03403814136981964,-0.08383946865797043,True
31,0.04051836580038071,0.017069552093744278,0.009306300431489944,0.03759133070707321,0.03402908891439438,-0.08527646213769913,True
32,0.04051239416003227,0.017066489905118942,0.00930305290967226,0.037588756531476974,0.03401782363653183,-0.08929603546857834,True
33,0.04050641134381294,0.017063425853848457,0.009299814701080322,0.03758615627884865,0.034006088972091675,-0.09533483535051346,True
34,0.04050043225288391,0.01706036925315857,0.009296595118939877,0.03758352994918823,0.03399598225951195,-0.0998038575053215,True
35,0.040494441986083984,0.01705731451511383,0.009293394163250923,0.03758086636662483,0.03398815169930458,-0.10239230841398239,True
36,0.04048844426870346,0.01705426163971424,0.009290210902690887,0.03757815808057785,0.03398128226399422,-0.10447868704795837,True
37,0.04048243910074234,0.0170512106269598,0.009287042543292046,0.03757541626691818,0.03397330269217491,-0.10504648089408875,True
38,0.04047642648220062,0.01704815961420536,0.009283886291086674,0.03757264465093613,0.033963292837142944,-0.10560202598571777,True
39,0.040470391511917114,0.01704510487616062,0.009280736558139324,0.037569839507341385,0.03395221382379532,-0.10828497260808945,True
